rank,company,primary_domain,alt_domain,domain_confidence,in_hubspot,hs_matched_domain,hs_lifecycle,vertical,vertical_group,industry_tier,segments,revenue_band,hq,ownership,tier,wave,fit_score,hold,outbound_eligible,requires_review,gate_notes,score_industry,score_revenue,score_employees,score_spend,score_volume,score_video,score_brands,score_markets,score_locations,score_sku,score_media,score_ai,score_tech,score_procurement,primary_multiplier,fit_rationale,primary_use_case,est_first_deal,target_titles,trigger_hypothesis,verification_required,reference_to_cite,notes,apollo_lists
89,Sweetgreen,sweetgreen.com,,High,True,sweetgreen.com,lead,QSR and fast casual,"QSR, Franchise & Hospitality",Tier 1,"S3, S10",$500M to $1B,"CA, US",Public,Tier 3 Volume,3,62,False,True,False,,12,9,3,4,6,4,1,0,4,2,5,5,2,5,250+ locations with expansion. Company operated. High menu innovation cadence. Digital first ordering model,Digital first model means app and web asset requirements on top of local and menu content. Menu innovation cadence is high. Path to profitability pressure creates a cost mandate at a scale where marketing budget is genuinely constrained,Menu and local asset systems plus digital content volume,$75K to $200K,CMO; VP Brand Marketing; Head of Creative,Path to profitability programme; marketing leadership change; unit growth; menu platform launches,Marketing team size and budget. Menu photography cadence and cost. Cost programme targets,"Sam's Club, Quay",Budget is genuinely constrained. Cap the first scope,"T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | QSR, Franchise & Hospitality"
90,Vera Bradley,verabradley.com,,High,True,verabradley.com,lead,Fashion and accessories,Fashion & Footwear,Tier 1,"S3, S7",$250M to $500M,"IN, US",Public,Tier 3 Volume,3,62,False,True,False,,12,8,3,2,6,2,3,2,4,5,3,5,2,5,Vera Bradley and Pura Vida. Print based design system with very high pattern and colourway variation,"Print and pattern based design means every new pattern must be visualized across the entire product line, which is a pure combinatorial imagery problem. Two brands with different audiences. Turnaround context creates a cost mandate at a scale where budget is tight",Pattern and colourway variant imagery at scale,$75K to $175K,VP E-commerce; Head of Creative; VP Marketing,Turnaround or cost programme; marketing leadership change; brand repositioning,Pattern count per season times SKU count. Creative team size. Cost programme targets. Budget reality at this revenue scale,"Marc Jacobs, Quay, PacSun",Pattern times SKU math is compelling. Budget may be constrained,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear
91,Ro,ro.co,,High,False,,,Consumer health and wellness,Consumer Health & Wellness,Tier 2,"S3, S10",$250M to $500M,"NY, US",VC backed,Tier 3 Volume,3,61,False,True,False,,12,8,3,5,8,4,1,0,0,3,5,5,2,5,Telehealth and DTC pharmacy across multiple condition categories. Performance marketing led. Late stage VC backed,"Same structural profile as Hims at smaller scale. Performance creative volume is the growth constraint. Regulated health claims require governance. VC backing means budget and a growth mandate, plus pressure to demonstrate efficiency",Performance creative at volume plus regulated claim governance,$75K to $175K,VP Growth; Head of Brand; Head of Creative,Category expansion; marketing leadership change; efficiency programme; funding activity,Active Meta creative count. Creative team size. Revenue requires estimation. Category count,"Quay, SimpliSafe",,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness
92,Glossier,glossier.com,,High,True,glossier.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,"S3, S10",$250M to $500M,"NY, US",VC backed,Tier 3 Volume,3,60,False,True,False,,12,8,3,4,6,4,1,2,0,3,5,5,2,5,DTC beauty transitioning to wholesale through Sephora. Brand built on distinctive visual identity and community content,"Wholesale expansion into Sephora creates a new asset requirement layer the DTC operating model was not built for. Brand identity is highly specific, which makes a governance layer valuable. VC backing means growth mandate and budget, plus pressure to demonstrate efficiency",Retailer asset packages plus social content volume,$75K to $150K,VP Brand Marketing; Head of Creative; Head of Content,Wholesale expansion; marketing leadership change; efficiency or path to profitability programme,Wholesale channel asset requirements. Creative team size. Revenue requires estimation. Aesthetic specificity will be an objection,"Sephora and LVMH, Quay, Marc Jacobs",Brand aesthetic specificity is the main objection. Lead with the reel,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care
93,Duluth Trading Company,duluthtrading.com,,High,True,duluthtrading.com,lead,Fashion and apparel,Fashion & Footwear,Tier 1,S3,$500M to $1B,"WI, US",Public,Tier 3 Volume,3,59,False,True,False,,12,9,3,4,6,2,1,0,2,5,3,5,2,5,Owned brand apparel with size and fit variation. 60+ stores plus catalogue plus e-commerce. Distinctive brand voice,"Catalogue plus e-commerce plus retail requires three asset systems from one small creative team. Extended size and fit range multiplies imagery. Brand is built on a distinctive illustrated and narrative style, which is a governance opportunity rather than an obstacle",PDP and size variant imagery plus catalogue asset systems,$75K to $175K,VP E-commerce; Head of Creative; VP Marketing,Turnaround or cost programme; marketing leadership change; catalogue strategy change,Catalogue production volume and cost. SKU and size variant count. Creative team size,"PacSun, Williams Sonoma",,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear
94,Nutrafol,nutrafol.com,,High,True,nutrafol.com,lead,Consumer health and wellness,Consumer Health & Wellness,Tier 2,S3,$250M to $500M,"NY, US",Subsidiary,Tier 3 Volume,3,59,False,True,False,,12,8,3,5,6,4,1,2,0,3,5,5,2,3,"Hair wellness supplements within Unilever. Practitioner, DTC and retail channels. Claim heavy category",Multi channel structure requiring different asset packages. Within Unilever but likely retains operational autonomy. Clinical claim substantiation makes governance valuable. Practitioner education content is a distinct and underserved need,Channel asset systems plus practitioner education content,$75K to $175K,VP Marketing; Head of Brand; Head of Creative,Unilever integration; marketing leadership change; international expansion; channel expansion,Entity autonomy within Unilever. Channel asset requirements. Revenue requires estimation,"SimpliSafe, Sephora and LVMH",Confirm autonomy within Unilever before investing time,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness
95,Vital Farms,vitalfarms.com,,High,True,vitalfarms.com,lead,CPG multi brand,CPG Multi-Brand,Tier 1,S3,$500M to $1B,"TX, US",Public,Tier 3 Volume,3,59,False,True,False,,12,9,3,4,6,4,3,0,0,3,3,5,2,5,Eggs and butter with a strong brand and mission narrative. Rapid growth. Small marketing organization,"Small SKU count but very high content need relative to team size, driven by a brand built on storytelling and farm level provenance content. Growth rate against a lean team is the constraint",Social and brand content volume plus retailer assets,$75K to $175K,VP Brand Marketing; Head of Content; Head of Creative,Marketing leadership change; capacity hiring; retail distribution expansion,Marketing headcount versus revenue. Meta creative count. Whether content is produced in house,"Quay, Goodwill",Small but fast. Cap first scope,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | CPG Multi-Brand
96,iRhythm Technologies,irhythmtech.com,,High,False,,,Consumer health and device,Consumer Health & Wellness,Tier 2,S3,$500M to $1B,"CA, US",Public,Tier 3 Volume,2,59,False,True,False,,12,9,3,4,6,4,1,2,0,3,3,5,2,5,Ambulatory cardiac monitoring. Growing consumer and HCP marketing. International expansion underway,Growth stage medical device with expanding consumer marketing and a dual patient plus HCP audience. Patient education content is a core need. International expansion adds localization. Small marketing team relative to growth means acute capacity constraint,Patient education content plus HCP asset systems,$100K to $250K,VP Marketing; Head of Creative; VP Commercial Marketing,International expansion; marketing leadership change; capacity hiring; product launches,Market count. Marketing team size. Whether patient and HCP creative are separate. Promotional review process,"SimpliSafe, CyberArk",,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Consumer Health & Wellness
97,Mielle Organics,mielleorganics.com,,High,True,mielleorganics.com,lead,Beauty and personal care,Beauty & Personal Care,Tier 1,S3,$250M to $500M,"GA, US",Subsidiary,Tier 3 Volume,3,58,False,True,False,,12,8,3,4,6,4,1,0,0,5,5,5,2,3,Textured hair care brand within P&G Beauty. High SKU count. Strong community and creator content requirement,"High SKU count across hair type and concern segmentation. Creator and community content volume is the primary channel. Within P&G but likely retains operational autonomy, which means a local buying centre with corporate governance standards",Creator content adaptation plus PDP and SKU content,$75K to $175K,VP Brand Marketing; Head of Content; Head of Creative,P&G integration; marketing leadership change; distribution expansion,Entity autonomy within P&G. SKU count. Creator content volume. Revenue requires estimation,"Sephora and LVMH, Quay, Goodwill",Confirm autonomy within P&G before investing time,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Beauty & Personal Care
98,Portillo's,portillos.com,,High,True,portillos.com,lead,QSR and fast casual,"QSR, Franchise & Hospitality",Tier 1,S3,$500M to $1B,"IL, US",Public,Tier 3 Volume,3,58,False,True,False,,12,9,3,4,6,4,1,0,2,2,3,5,2,5,85+ locations with expansion into new states. Company operated. Strong regional brand with national ambitions,New state market entry requires local asset development that a regional marketing team has not had to produce before. Company operated means fast decisions. Menu and LTO cadence plus a distinctive brand voice that needs governance as the footprint expands,Local market asset systems plus menu content,$75K to $175K,CMO; VP Marketing; Head of Creative,New state market entry; unit growth programme; marketing leadership change,New market entry cadence. Marketing team size. Whether local assets are produced centrally,Sam's Club,Small footprint but expanding fast. Cap first scope,"T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | QSR, Franchise & Hospitality"
99,Thorne HealthTech,thorne.com,,High,True,thorne.com,lead,Consumer health and wellness,Consumer Health & Wellness,Tier 2,"S3, S9",$250M to $500M,"NY, US",PE backed,Tier 3 Volume,3,58,False,True,False,,12,8,3,4,6,2,1,2,0,5,3,5,2,5,"Supplements and testing across practitioner, consumer and enterprise channels. Very high SKU count. Claim heavy category",Three channel structure with different asset requirements from a large SKU count. PE ownership creates a cost and growth mandate. Supplement claim substantiation makes governance a paid feature. Practitioner education content is a distinct volume need,PDP and SKU content plus channel asset systems,$75K to $175K,VP Marketing; Head of Creative; VP E-commerce,PE cost or growth programme; marketing leadership change; channel expansion,PE sponsor and hold period. SKU count. Channel asset requirements. Revenue requires estimation,"SimpliSafe, Quay",,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Consumer Health & Wellness
100,Faherty Brand,fahertybrand.com,,High,True,fahertybrand.com,lead,Fashion and apparel,Fashion & Footwear,Tier 1,"S3, S10",$250M to $500M,"NY, US",Private,Nurture,3,54,False,False,False,"tier is Nurture: content and events only, no sequence",12,8,3,2,6,2,1,0,2,3,3,5,2,5,Growing lifestyle apparel brand. 70+ stores. Print and pattern heavy assortment. Family founded,"Print based assortment plus store expansion plus lean creative team. Founder led means a fast decision if the founder engages, and an unproductive middle if they do not. Brand storytelling volume requirement is high relative to team size",Print and colourway variant imagery plus social content volume,$75K to $150K,Head of Creative; VP Brand Marketing; Head of E-commerce,Store expansion; marketing leadership hires; wholesale expansion,Store count. Print and SKU count. Creative team size. Private company financials require estimation. Reach the founder or exit,"PacSun, Quay",Founder led. Reach the founder directly or deprioritize,T100 | Master | All Accounts; T100 | Wave 3 | Day 61-90; T100 | Vertical | Fashion & Footwear
